age,prcpG.H
0,1
1,1.000758824
2,1.006252941
3,1.023341176
4,1.047305882
5,1.085714235
6,1.107215982
7,1.157369635
8,1.173101531
9,1.172796364
10,1.143729139
11,1.102096349
12,1.086080617
13,1.061987485
14,1.014975321
15,0.975679057
16,0.918557782
17,0.900867392
18,0.882932671
19,0.82968563
20,0.798525287
21,0.780189478
22,0.751150848
23,0.737233284
24,0.755459835
25,0.799688783
26,0.83918632
27,0.884811838
28,0.932879287
29,0.976219586
30,1.031558697
31,1.07365053
32,1.07664538
33,1.073222663
34,1.067222114
35,1.030852226
36,1.009578311
37,0.986832069
38,0.958596014
39,0.968587525
40,0.984388146
41,0.965435699
42,0.963905735
43,0.948703558
44,0.937834757
45,0.919797624
46,0.893503505
47,0.924721503
48,0.935887607
49,0.964584197
50,0.985806302
51,1.009545682
52,1.005815246
53,1.005800661
54,1.037387132
55,1.07336551
56,1.111275762
57,1.099810312
58,1.06855556
59,1.052706854
60,1.07139199
61,1.07239638
62,1.05628023
63,1.035046287
64,1.003281334
65,0.964337682
66,0.927429272
67,0.892043441
68,0.892399191
69,0.869573608
70,0.842404117
71,0.845749099
72,0.83853803
73,0.866281937
74,0.907828041
75,0.929001498
76,0.971750489
77,1.075983192
78,1.163481089
79,1.218746383
80,1.258941161
81,1.299361636
82,1.287408367
83,1.254909365
84,1.197726193
85,1.192508912
86,1.146787404
87,1.103251838
88,1.052016187
89,1.004031867
90,0.959326042
91,0.930303657
92,0.894089531
93,0.870210174
94,0.853015032
95,0.862742603
96,0.888151116
97,0.938654108
98,0.997804088
99,1.078147432
100,1.157390118
101,1.270696419
102,1.379357706
103,1.449929931
104,1.42883213
105,1.404039537
106,1.268758582
107,1.229932074
108,1.157003155
109,1.071973311
110,1.007299668
111,0.943559986
112,0.896278256
113,0.857638351
114,0.83350245
115,0.821283928
116,0.816961835
117,0.844883347
118,0.883325849
119,0.937269787
120,1.015405882
121,1.081241176
122,1.182682353
123,1.285447059
124,1.383350475
125,1.415918343
126,1.40236994
127,1.318716148
128,1.234117068
129,1.146025332
130,1.067395994
131,1.006888218
132,0.933508985
133,0.857169011
134,0.797323873
135,0.757350678
136,0.727314774
137,0.707386318
138,0.698301205
139,0.702166333
140,0.727908551
141,0.769162172
142,0.816799702
143,0.890021066
144,0.97932977
145,1.066176643
146,1.155291575
147,1.221405546
148,1.257147053
149,1.251031042
150,1.234664549