Years BP,Precip (mm/yr)
0,0.00
1000,1.29
2000,10.63
3000,39.68
4000,80.42
5000,146.58
6000,216.92
7000,318.99
8000,368.59
9000,415.72
10000,420.72
11000,409.50
12000,449.04
13000,466.04
14000,424.01
15000,395.00
16000,346.05
17000,360.18
18000,360.23
19000,290.86
20000,243.15
21000,227.04
22000,215.95
23000,212.84
24000,253.22
25000,305.93
26000,342.63
27000,394.20
28000,457.55
29000,507.05
30000,574.67
31000,635.02
32000,626.52
33000,606.39
34000,595.70
35000,540.42
36000,506.80
37000,449.83
38000,392.56
39000,397.92
40000,407.17
41000,351.42
42000,333.94
43000,301.29
44000,291.17
45000,254.28
46000,214.33
47000,259.75
48000,289.82
49000,327.70
50000,343.85
51000,365.15
52000,376.33
53000,379.85
54000,437.93
55000,507.17
56000,592.88
57000,591.15
58000,549.51
59000,511.84
60000,550.51
61000,559.38
62000,523.23
63000,488.80
64000,429.89
65000,360.77
66000,297.07
67000,225.19
68000,195.14
69000,145.56
70000,89.41
71000,42.00
72000,10.39
73000,45.28
74000,80.84
75000,101.43
76000,166.54
77000,323.01
78000,477.80
79000,593.44
80000,650.97
81000,722.34
82000,692.98
83000,615.34
84000,545.91
85000,533.51
86000,499.34
87000,444.85
88000,372.84
89000,277.71
90000,202.54
91000,138.36
92000,82.98
93000,44.57
94000,7.97
95000,-5.30
96000,3.97
97000,57.96
98000,152.46
99000,264.25
100000,413.23
101000,594.57
102000,823.82
103000,968.36
104000,944.25
105000,915.50
106000,713.87
107000,668.54
108000,542.28
109000,404.02
110000,295.81
111000,190.48
112000,93.39
113000,8.53
114000,-57.00
115000,-118.43
116000,-147.06
117000,-153.52
118000,-135.62
119000,-72.07
120000,26.19
121000,138.11
122000,310.56
123000,485.26
124000,662.74
125000,762.75
126000,784.68
127000,732.40
128000,635.29
129000,558.51
130000,502.37
131000,433.91
132000,390.27
133000,324.18
134000,257.74
135000,212.49
136000,162.70
137000,126.55
138000,105.22
139000,100.28
140000,131.14
141000,169.29
142000,235.55
143000,338.94
144000,469.40
145000,607.38
146000,760.59
147000,867.50
148000,926.71
149000,906.27
150000,852.26