Time,LowCI,Median,UpCI
1000,0.00,0.00,0.00
2000,28.55,36.97,42.08
3000,10.14,27.60,40.52
4000,1.10,20.12,33.91
5000,-17.68,7.65,31.75
6000,-55.74,-27.82,-0.76
7000,-91.43,-61.84,-31.30
8000,-121.64,-91.29,-50.90
9000,-151.34,-113.33,-75.16
10000,-158.19,-130.61,-93.99
11000,-171.80,-143.67,-112.26
12000,-190.04,-158.93,-125.07
13000,-186.77,-159.91,-125.56
14000,-179.01,-157.79,-136.62
15000,-159.61,-133.31,-111.52
16000,-116.38,-86.87,-63.75
17000,-100.03,-65.03,-33.04
18000,-89.29,-48.56,-14.47
19000,-86.37,-40.11,-3.53
20000,-46.12,0.26,35.90
21000,-69.86,-13.05,30.94
22000,-95.10,-40.71,7.09
23000,-112.07,-59.97,-13.61
24000,-130.37,-87.67,-43.34
25000,-166.54,-135.55,-91.22
26000,-178.67,-153.50,-112.28
27000,-193.98,-161.77,-129.23
28000,-216.03,-185.88,-151.95
29000,-233.37,-206.22,-173.75
30000,-246.46,-220.88,-189.05
31000,-259.97,-233.86,-203.36
32000,-258.20,-232.76,-202.04
33000,-259.12,-233.50,-202.83
34000,-250.25,-228.11,-198.04
35000,-243.58,-222.97,-197.35
36000,-218.31,-199.99,-176.07
37000,-206.70,-190.17,-167.03
38000,-184.66,-163.59,-144.69
39000,-164.33,-139.04,-114.76
40000,-130.55,-106.44,-79.65
41000,-120.74,-88.64,-61.67
42000,-100.24,-62.26,-24.19
43000,-57.44,-7.06,27.17
44000,-48.90,3.66,41.39
45000,-36.25,15.73,62.30
46000,-38.42,18.99,73.27
47000,-20.21,40.81,101.99
48000,-21.16,36.97,98.96
49000,-18.09,36.04,93.89
50000,-25.69,29.02,79.97
51000,-43.24,14.33,67.49
52000,-56.49,-5.18,54.09
53000,-90.28,-36.57,25.56
54000,-84.98,-32.75,22.91
55000,-132.61,-86.08,-37.26
56000,-165.46,-120.96,-82.26
57000,-186.01,-149.37,-112.74
58000,-196.83,-162.85,-127.72
59000,-220.09,-190.93,-156.13
60000,-223.27,-195.87,-161.59
61000,-224.98,-199.45,-170.05
62000,-244.14,-222.64,-194.53
63000,-243.12,-222.32,-198.42
64000,-229.31,-209.74,-189.88
65000,-224.80,-209.34,-189.96
66000,-201.94,-185.61,-168.68
67000,-169.11,-150.45,-129.65
68000,-146.89,-123.73,-102.74
69000,-125.36,-93.58,-68.48
70000,-110.71,-74.22,-48.39
71000,-76.69,-47.90,-24.78
72000,-67.10,-36.60,-10.08
73000,-75.91,-44.30,-19.51
74000,-87.77,-62.04,-35.14
75000,-102.17,-65.82,-28.02
76000,-121.64,-98.14,-59.61
77000,-162.45,-131.08,-95.60
78000,-175.30,-137.30,-99.80
79000,-203.44,-165.92,-122.24
80000,-225.84,-193.96,-150.48
81000,-245.94,-214.39,-162.32
82000,-252.56,-221.14,-175.54
83000,-240.63,-212.18,-161.43
84000,-239.00,-213.86,-162.03
85000,-218.21,-193.70,-150.20
86000,-193.25,-169.11,-133.46
87000,-164.34,-139.38,-120.71
88000,-112.58,-85.94,-58.00
89000,-57.22,-28.17,-11.27
90000,22.89,53.87,74.23
91000,63.67,96.95,129.06
92000,105.51,139.09,172.20
93000,165.21,189.46,214.34
94000,188.30,216.48,236.84
95000,200.91,226.15,244.17
96000,182.45,214.37,234.04
97000,141.18,188.76,210.36
98000,93.24,150.35,190.14
99000,33.60,86.63,136.56
100000,-40.50,13.11,64.22
101000,-140.67,-90.85,-43.18
102000,-190.72,-147.35,-94.35
103000,-233.98,-194.01,-136.95
104000,-257.49,-220.92,-154.18
105000,-278.28,-249.77,-198.26
106000,-277.29,-254.35,-206.30
107000,-277.75,-261.95,-220.42
108000,-268.36,-252.66,-217.79
109000,-243.03,-224.01,-200.29
110000,-214.41,-195.36,-182.02
111000,-159.78,-145.86,-136.13
112000,-136.35,-114.96,-104.51
113000,-74.51,-48.69,-34.06
114000,-38.51,-9.82,7.86
115000,1.75,32.42,57.25
116000,67.00,104.58,122.86
117000,82.93,104.21,119.36
118000,112.77,133.23,150.58
119000,118.92,132.38,142.94
120000,81.02,102.20,125.85
121000,56.09,80.45,109.30
122000,-23.76,14.23,58.37
123000,-86.93,-49.57,-7.18
124000,-157.56,-110.22,-51.31
125000,-200.64,-152.39,-90.73
126000,-208.81,-161.94,-102.07
127000,-216.46,-171.80,-109.99
128000,-219.59,-171.88,-117.43
129000,-200.13,-156.17,-103.47
130000,-188.74,-161.67,-134.20
131000,-170.82,-149.94,-127.36
132000,-117.49,-87.92,-74.29
133000,-79.32,-50.47,-34.77
134000,-22.31,26.78,49.38
135000,-5.72,53.30,85.24
136000,38.37,95.29,137.90
137000,75.16,140.57,182.02
138000,85.35,148.72,195.88
139000,74.12,148.83,199.65
140000,46.93,126.06,180.14
141000,15.91,87.91,144.87
142000,-26.21,41.90,104.14
143000,-83.50,-18.90,44.97
144000,-129.30,-84.48,-21.69
145000,-177.56,-140.43,-91.38
146000,-208.82,-176.25,-129.45
147000,-233.90,-201.41,-157.12
148000,-261.53,-230.80,-191.91
149000,-278.17,-252.21,-214.07
150000,-288.00,-263.41,-227.62