age,d2c
0,39
1000,39
2000,39
3000,39
4000,39
5000,39.37
6000,53.80890221
7000,60.99214568
8000,70.7595716
9000,91.12229993
10000,114.3762666
11000,139.8274387
12000,168.3602352
13000,193.1287504
14000,209.321348
15000,225.47248
16000,246.0520384
17000,264.9424931
18000,277.9933588
19000,287.0318072
20000,289.2807745
21000,295.7170457
22000,312.0741706
23000,320.8561609
24000,324.87106
25000,315.2645592
26000,302.2535284
27000,291.1452459
28000,283.2970994
29000,272.9644031
30000,261.6582113
31000,256.8692734
32000,251.0610485
33000,244.9450741
34000,244.7360711
35000,247.5347079
36000,248.6225944
37000,240.8014885
38000,236.8405024
39000,231.872311
40000,224.3462185
41000,214.2903042
42000,207.9317312
43000,205.0230562
44000,208.5944075
45000,205.9333503
46000,207.9632654
47000,204.69378
48000,209.4320802
49000,204.7721649
50000,196.2561055
51000,188.1121114
52000,195.6000352
53000,197.1149046
54000,198.9879811
55000,202.4395867
56000,211.5261556
57000,219.1164401
58000,224.0280117
59000,219.4437388
60000,222.3947083
61000,225.4556216
62000,221.7152175
63000,222.4279108
64000,220.3297998
65000,219.0837356
66000,218.6753155
67000,213.6650214
68000,200.56469
69000,195.9593445
70000,191.7021375
71000,169.011338
72000,160.7416022
73000,155.496029
74000,140.5095429
75000,133.9262619
76000,130.6940893
77000,121.8369976
78000,124.4197215
79000,133.6885251
80000,129.0726606
81000,130.2073582
82000,126.3443489
83000,116.7752478
84000,128.6476377
85000,127.1388245
86000,145.7527406
87000,154.0948186
88000,160.5437959
89000,154.7503529
90000,155.1050122
91000,148.7623003
92000,151.4050412
93000,152.3387622
94000,149.1899338
95000,136.4519552
96000,121.9543178
97000,108.3367589
98000,105.7491666
99000,95.15357483
100000,101.2507692
101000,96.42995233
102000,115.4580771
103000,125.9568878
104000,130.9809309
105000,136.7063195
106000,148.8206883
107000,157.6561858
108000,156.6814688
109000,159.3698169
110000,160.1113524
111000,161.4051385
112000,154.2636603
113000,146.0704288
114000,135.6007838
115000,118.2253516
116000,109.1302909
117000,86.08474796
118000,65.8060072
119000,53.77408672
120000,39
121000,39
122000,39
123000,39
124000,43.71974058
125000,62.79863958
126000,82.0132918
127000,120.4455332
128000,140.4064034
129000,171.5927076
130000,204.7251329
131000,219.4273629
132000,254.0874894
133000,281.3045647
134000,296.3886396
135000,306.091388
136000,306.6345657
137000,305.6637859
138000,303.1486975
139000,298.229587
140000,292.7160099
141000,279.0488494
142000,272.7566268
143000,263.7453792
144000,254.6151241
145000,250.4870544
146000,251.2197962
147000,248.8763129
148000,248.2136793
149000,243.9218925
150000,232.7308832