age,insol
0,0.999997037
1,0.994916061
2,0.987464557
3,0.978522218
4,0.968999573
5,0.959623232
6,0.951498453
7,0.945426609
8,0.941686769
9,0.940886888
10,0.942907897
11,0.947464265
12,0.954296208
13,0.962782398
14,0.972131289
15,0.981759403
16,0.990823511
17,0.998528214
18,1.004334419
19,1.007736145
20,1.008226965
21,1.006018911
22,1.001105016
23,0.99393168
24,0.985284372
25,0.9759284
26,0.966593331
27,0.958349905
28,0.95157996
29,0.946898862
30,0.944469969
31,0.944339911
32,0.946246885
33,0.949983109
34,0.955099441
35,0.961105534
36,0.967665042
37,0.974273757
38,0.980570346
39,0.986319577
40,0.991189768
41,0.995027757
42,0.997726274
43,0.999197164
44,0.999345281
45,0.998291735
46,0.995932522
47,0.992460208
48,0.987922703
49,0.982566127
50,0.976451164
51,0.970137384
52,0.963650175
53,0.957566002
54,0.952215982
55,0.947950794
56,0.94515454
57,0.944101202
58,0.944966242
59,0.947802378
60,0.952607029
61,0.959098775
62,0.967030185
63,0.975884998
64,0.985191284
65,0.994137058
66,1.002286437
67,1.008670042
68,1.012885622
69,1.014228877
70,1.012474681
71,1.007441298
72,0.999402087
73,0.988803872
74,0.976503516
75,0.963433937
76,0.950879722
77,0.939702998
78,0.931079824
79,0.925613414
80,0.92377338
81,0.92570891
82,0.931411814
83,0.940309907
84,0.95209947
85,0.965911917
86,0.980913552
87,0.996169361
88,1.010786305
89,1.023425259
90,1.033439931
91,1.039603303
92,1.041238529
93,1.037911183
94,1.029434643
95,1.016085438
96,0.999032772
97,0.97933545
98,0.958958052
99,0.939701544
100,0.923330291
101,0.911254361
102,0.904553802
103,0.903621343
104,0.908429818
105,0.918736097
106,0.933512818
107,0.951833303
108,0.972380896
109,0.993632176
110,1.013909432
111,1.03180587
112,1.045363847
113,1.053483723
114,1.054900665
115,1.049250104
116,1.036556932
117,1.018248656
118,0.995840113
119,0.971905212
120,0.949008758
121,0.929221587
122,0.914249887
123,0.905207542
124,0.902100742
125,0.904881286
126,0.912925425
127,0.925112739
128,0.940478496
129,0.957991781
130,0.976077416
131,0.993898045
132,1.010192717
133,1.023802002
134,1.033920572
135,1.040044707
136,1.041181626
137,1.03785349
138,1.029954106
139,1.018126493
140,1.003579452
141,0.987435883
142,0.970927168
143,0.955617067
144,0.942425877
145,0.932083419
146,0.925371074
147,0.922248279
148,0.922632797
149,0.926407634
150,0.933063885