age,rainrel
0,0.999983264
1,0.972007733
2,0.933606612
3,0.891645473
4,0.851906495
5,0.817254741
6,0.77188203
7,0.745341017
8,0.722704352
9,0.692925768
10,0.665874147
11,0.642690987
12,0.623312187
13,0.617521577
14,0.631032818
15,0.65080571
16,0.666820949
17,0.682153167
18,0.697537153
19,0.705523527
20,0.705434912
21,0.683257772
22,0.63210161
23,0.58054738
24,0.531251985
25,0.501769217
26,0.481953857
27,0.468008685
28,0.457668216
29,0.45874827
30,0.467940175
31,0.474174139
32,0.48703723
33,0.505619563
34,0.521150271
35,0.537089641
36,0.559513269
37,0.596771173
38,0.62977163
39,0.663702994
40,0.698446671
41,0.732418729
42,0.755825456
43,0.7679928
44,0.763929865
45,0.76169466
46,0.74596924
47,0.7319676
48,0.702346057
49,0.682917734
50,0.667091376
51,0.652068199
52,0.617241977
53,0.594277561
54,0.575063308
55,0.55821517
56,0.538374816
57,0.525304757
58,0.520762565
59,0.534512265
60,0.544152948
61,0.560510448
62,0.59396231
63,0.628790605
64,0.674049207
65,0.721090482
66,0.766866245
67,0.811759538
68,0.856079455
69,0.871002219
70,0.865608708
71,0.865447507
72,0.829818207
73,0.78065192
74,0.743703568
75,0.700971261
76,0.66473501
77,0.648127558
78,0.627213827
79,0.605665263
80,0.609389816
81,0.610575418
82,0.625168153
83,0.656443733
84,0.671101259
85,0.719345796
86,0.756149995
87,0.821066801
88,0.89766071
89,0.989157293
90,1.061260438
91,1.117429529
92,1.1267636
93,1.099281309
94,1.039657109
95,0.964611693
96,0.880895776
97,0.800268125
98,0.724065423
99,0.684686756
100,0.64691456
101,0.641482201
102,0.612268108
103,0.597645348
104,0.592507329
105,0.592785774
106,0.598257505
107,0.630568369
108,0.704182175
109,0.800233991
110,0.918064943
111,1.040398533
112,1.156198194
113,1.23586717
114,1.262536442
115,1.237873533
116,1.148000513
117,1.047935301
118,0.940257025
119,0.84324737
120,0.785075876
121,0.741062278
122,0.722395687
123,0.717228703
124,0.710047813
125,0.684518579
126,0.662413188
127,0.623084843
128,0.624450696
129,0.630642953
130,0.653874527
131,0.719349876
132,0.765780743
133,0.818377281
134,0.871294778
135,0.905334422
136,0.913609793
137,0.888741621
138,0.832499959
139,0.75643258
140,0.672930868
141,0.604542258
142,0.539237996
143,0.496727415
144,0.472545898
145,0.45627941
146,0.444266801
147,0.443220152
148,0.444622771
149,0.45580117
150,0.482429624