age,ageSD,toc,tocSD
0,0.03,30.59777899,0.61195558
0.083,0.13,33.44043856,0.668808771
0.192,0.16,31.513727,0.63027454
0.282,0.18,30.26707767,0.605341553
0.487,0.16,32.57253662,0.651450732
0.65,0.08,33.46789426,0.669357885
0.862,0.21,30.86007983,0.617201597
1.04,0.3,30.41137088,0.608227418
1.159,0.36,31.88619022,0.637723804
1.203,0.38,31.35851113,0.627170223
1.335,0.43,29.65382108,0.593076422
1.852,0.58,32.94523085,0.658904617
2.041,0.57,35.53619263,0.710723853
2.246,0.55,33.85385101,0.67707702
2.465,0.54,33.08407547,0.661681509
2.525,0.52,32.87751104,0.657550221
2.626,0.51,32.34343808,0.646868762
2.828,0.49,29.24681744,0.584936349
2.93,0.47,29.61067702,0.59221354
3.032,0.45,29.92688434,0.598537687
3.196,0.41,32.47741478,0.649548296
3.298,0.39,30.10435806,0.602087161
3.338,0.37,28.02251299,0.56045026
3.48,0.34,34.12949819,0.682589964
3.6,0.29,29.15670421,0.583134084
3.709,0.26,28.68115597,0.573623119
3.858,0.2,28.00295391,0.560059078
4.07,0.26,24.98466672,0.499693334
4.3,0.36,23.89934168,0.477986834
4.483,0.44,15.31993759,0.306398752
4.573,0.43,5.41750589,0.108350118
5.036,0.42,19.30747458,0.386149492
5.514,0.29,21.20232092,0.424046418
6.016,0.25,6.519314665,0.130386293
6.52,0.51,15.25003687,0.305000737
7.071,0.59,27.30962856,0.546192571
7.675,0.52,13.96850769,0.279370154
8.37,0.19,10.09127517,0.201825503
8.798,0.25,9.813510111,0.196270202
8.992,0.31,8.760267106,0.175205342
9.139,0.36,12.13316495,0.242663299
9.355,0.38,14.17345407,0.283469081
9.379,0.39,12.26378945,0.245275789
9.403,0.4,13.87884119,0.277576824
9.5,0.38,17.05255125,0.341051025
9.836,0.37,13.7900302,0.275800604
10.078,0.33,17.28849388,0.345769878
10.322,0.24,10.725905,0.2145181
10.907,0.63,31.41847843,0.628369569
11.496,0.87,1.157409726,0.023148195
12.087,1.03,1.112516303,0.022250326
12.743,1.19,0.405613355,0.008112267
13.325,1.26,0.151510794,0.003030216
13.958,1.3,1.309678249,0.026193565
14.425,1.32,0.491909254,0.009838185
15.024,1.37,0.638528709,0.012770574
16.465,1.7,0.421696305,0.008433926
17.136,1.93,0.478280476,0.00956561
19.347,2.04,0.43935648,0.00878713
19.868,1.99,0.481113231,0.009622265
22.12,1.5,0.49959958,0.009991992
23.846,0.42,0.516098972,0.010321979
24.814,1.08,0.513435234,0.010268705
25.777,1.44,0.502953219,0.010059064
26.617,1.44,0.492881396,0.009857628
27.823,1.76,0.508906956,0.010178139
29.412,1.94,0.494860484,0.00989721
30.625,2.11,0.473183444,0.009463669
31.387,2.25,0.511077965,0.010221559
32.06,2.34,0.473925073,0.009478501
32.732,2.43,0.491727673,0.009834553
33.401,2.47,0.440685243,0.008813705
34.074,2.47,0.536302444,0.010726049
34.664,2.51,0.470996665,0.009419933
35.359,2.51,0.370072137,0.007401443
36.118,2.55,0.428336131,0.008566723
37.163,2.47,0.330036429,0.006600729
38.389,2.53,0.37345207,0.007469041
39.515,2.64,0.458055134,0.009161103
41.135,2.72,0.388886847,0.007777737
42.603,2.73,0.405177761,0.008103555
44.072,2.69,0.366014275,0.007320286
45.584,2.79,0.265809615,0.005316192
47.049,2.82,0.259409891,0.005188198
48.516,2.74,0.27064944,0.005412989
51.632,2.52,0.24518359,0.004903672
53.073,2.55,0.259065919,0.005181318
53.998,2.55,0.229116418,0.004582328
55.276,2.58,0.176557721,0.003531154
56.455,2.66,0.168791756,0.003375835
57.626,2.67,0.159309907,0.003186198
58.639,2.72,0.155438812,0.003108776
59.62,2.74,0.175297866,0.003505957
60.591,2.77,0.15633739,0.003126748
61.525,2.78,0.147929462,0.002958589
62.421,2.81,0.164270748,0.003285415
63.327,2.9,0.146901659,0.002938033
64.241,2.89,0.401192936,0.008023859
64.683,2.89,0.478692514,0.00957385
65.219,2.94,0.366812856,0.007336257
66.498,3,0.562113735,0.011242275
66.955,3.04,0.380518323,0.007610366
67.411,3.04,0.484195591,0.009683912
67.866,3.08,0.344589376,0.006891788
67.866,3.08,0.537936521,0.01075873
68.322,3.08,0.537502169,0.010750043
68.777,3.13,0.631816209,0.012636324
69.23,3.14,0.763550962,0.015271019
69.685,3.19,0.863551733,0.017271035
70.148,3.16,0.968653882,0.019373078
70.608,3.19,2.486839643,0.049736793
71.061,3.18,1.926692184,0.038533844
71.513,3.22,3.41194584,0.068238917
71.963,3.2,3.229973704,0.064599474
72.415,3.23,4.837739411,0.096754788
72.871,3.22,3.086711286,0.061734226
73.327,3.27,4.128633632,0.082572673
73.781,3.26,5.144289381,0.102885788
74.235,3.3,7.3313336,0.146626672
74.692,3.26,8.396361003,0.16792722
75.15,3.26,9.637296021,0.19274592
75.61,3.25,7.807588759,0.156151775
76.068,3.29,4.065157964,0.081303159
76.516,3.28,3.602195049,0.072043901
76.875,3.32,3.529570753,0.070591415
78.677,3.36,1.008573377,0.020171468
79.089,3.36,0.973425227,0.019468505
79.501,3.34,0.983385883,0.019667718
79.913,3.3,0.999586734,0.019991735
80.327,3.31,1.009773752,0.020195475
80.748,3.29,1.045707584,0.020914152
81.163,3.33,0.95304683,0.019060937
81.555,3.33,0.948971886,0.018979438
81.947,3.35,0.977157558,0.019543151
82.338,3.32,0.916826401,0.018336528
83.128,3.34,0.936922992,0.01873846
83.525,3.35,0.978850132,0.019577003
83.915,3.33,0.947500681,0.018950014
84.305,3.36,0.993571173,0.019871423
84.689,3.38,1.036859377,0.020737188
85.448,3.35,1.1628979,0.023257958
85.674,3.39,5.235053487,0.10470107
86.427,3.44,7.044532651,0.140890653
87.167,3.43,16.64745442,0.332949088
87.86,3.44,0.7902303,0.015804606
88.515,3.5,12.87065015,0.257413003
88.871,3.54,16.10620992,0.322124198
89.674,3.62,28.85656129,0.577131226
91.369,3.76,25.4205921,0.508411842
92.837,3.84,0.692735929,0.013854719
93.408,3.89,0.92932077,0.018586415
94.801,4.06,0.665032079,0.013300642
95.461,4.1,0.750169551,0.015003391
96.281,4.16,2.443102912,0.048862058
97.095,4.26,3.146859939,0.062937199
97.915,4.26,2.246530919,0.044930618
98.732,4.3,2.593356431,0.051867129
99.546,4.34,2.769115142,0.055382303
99.959,4.36,6.227504656,0.124550093
101.187,4.42,0.557289259,0.011145785
102.009,4.45,0.497126882,0.009942538
103.645,4.56,0.584225474,0.011684509
104.458,4.56,0.668188701,0.013363774
105.271,4.63,0.77559219,0.015511844
106.089,4.61,0.736727561,0.014734551
106.906,4.67,0.540261741,0.010805235
107.717,4.7,0.760305016,0.0152061
108.535,4.69,0.79555679,0.015911136
110.581,4.7,10.01179967,0.200235993
110.992,4.71,4.792879857,0.095857597
111.402,4.72,48.57625183,0.971525037
111.812,4.76,48.35042467,0.967008493
112.219,4.76,38.66472306,0.773294461
113.846,4.87,39.75151189,0.795030238
114.662,4.86,41.18733483,0.823746697
115.482,4.88,44.99877809,0.899975562
116.304,4.95,37.96408095,0.759281619
116.957,4.97,22.94130765,0.458826153
117.939,4.99,17.70266021,0.354053204
118.347,5.03,16.95502919,0.339100584
118.757,5.04,22.38989801,0.44779796
119.166,5.09,21.46743829,0.429348766
119.574,5.09,21.67841793,0.433568359
119.981,5.03,15.27063268,0.305412654
120.391,5.16,10.07108371,0.201421674
120.802,5.24,7.96095284,0.159219057
121.634,5.25,8.091503979,0.16183008
122.046,5.26,8.55100326,0.171020065
122.456,5.31,2.103418336,0.042068367
122.867,5.31,5.460809486,0.10921619
123.279,5.34,4.95528245,0.099105649
123.688,5.36,2.893238505,0.05786477
124.096,5.44,1.900741082,0.038014822
124.5,5.42,2.023020155,0.040460403
125.149,5.41,2.043330761,0.040866615
125.479,5.43,1.989648226,0.039792965
125.891,5.5,8.469309162,0.169386183
126.707,5.57,5.375709329,0.107514187
127.526,5.64,2.069334379,0.041386688
128.347,5.72,2.282146814,0.045642936
129.165,5.78,3.668784222,0.073375684
129.981,5.84,18.23951687,0.364790337
131.29,5.9,5.894059847,0.117881197
131.616,5.96,8.050806239,0.161016125
132.42,6.07,5.148615594,0.102972312
132.99,6.11,6.83557247,0.136711449
134.551,6.27,0.358816284,0.007176326
135.54,6.33,0.365382862,0.007307657
135.954,6.34,0.338216334,0.006764327
136.781,6.4,0.33015417,0.006603083
137.598,6.47,0.271327712,0.005426554
138.165,6.58,0.225189527,0.004503791
138.984,6.66,0.270017872,0.005400357
140.297,6.74,0.279592378,0.005591848
140.873,6.81,0.233210834,0.004664217
141.201,6.81,0.267865714,0.005357314
141.769,6.83,0.416063759,0.008321275
142.172,6.91,0.297078525,0.00594157
142.745,6.96,0.309994658,0.006199893
143.238,7.04,0.233736326,0.004674727
143.816,7.05,0.232234021,0.00464468
144.379,7.09,0.206297891,0.004125958
144.704,7.13,0.186799685,0.003735994
145.767,7.18,0.267768557,0.005355371
146.009,7.23,0.362319233,0.007246385
146.496,7.31,0.378151418,0.007563028
148.041,7.43,0.698715709,0.013974314
148.611,7.5,0.910080973,0.018201619
149.428,7.54,0.734240175,0.014684804
150.243,7.57,0.417601908,0.008352038
151.069,7.61,0.360086022,0.00720172
153.534,7.7,0.613773665,0.012275473
154.026,7.71,0.659217009,0.01318434